event_id,learner_id,session_registration,level,round_number,event_type,event_subtype,regime,event_timestamp,raw_statement_id
00000000-0000-4000-8000-000000000001,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-0,,initialized,sim-initialized,no-parity,2026-09-15T09:00:00.000Z,00000000-0000-4000-8000-000000000001
00000000-0000-4000-8000-000000000002,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-0,,initialized,clearance-initialized,no-parity,2026-09-15T09:00:05.000Z,00000000-0000-4000-8000-000000000002
00000000-0000-4000-8000-00000000000c,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-0,,initialized,clearance-initialized,no-parity,2026-09-15T09:01:52.000Z,00000000-0000-4000-8000-00000000000c
00000000-0000-4000-8000-000000000011,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-0,,completed,level-milestone,no-parity,2026-09-15T09:02:37.000Z,00000000-0000-4000-8000-000000000011
00000000-0000-4000-8000-000000000012,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,1,initialized,round-initialized,no-parity,2026-09-15T09:02:41.000Z,00000000-0000-4000-8000-000000000012
00000000-0000-4000-8000-000000000018,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,1,interacted,objection-presented,no-parity,2026-09-15T09:04:47.000Z,00000000-0000-4000-8000-000000000018
00000000-0000-4000-8000-00000000001a,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,1,interacted,objection-presented,no-parity,2026-09-15T09:05:11.000Z,00000000-0000-4000-8000-00000000001a
00000000-0000-4000-8000-00000000001d,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,2,initialized,round-initialized,no-parity,2026-09-15T09:05:38.000Z,00000000-0000-4000-8000-00000000001d
00000000-0000-4000-8000-000000000023,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,2,interacted,objection-presented,no-parity,2026-09-15T09:07:44.000Z,00000000-0000-4000-8000-000000000023
00000000-0000-4000-8000-000000000026,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,3,initialized,round-initialized,no-parity,2026-09-15T09:08:11.000Z,00000000-0000-4000-8000-000000000026
00000000-0000-4000-8000-00000000002c,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,3,interacted,objection-presented,no-parity,2026-09-15T09:10:17.000Z,00000000-0000-4000-8000-00000000002c
00000000-0000-4000-8000-00000000002f,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,4,initialized,round-initialized,no-parity,2026-09-15T09:10:44.000Z,00000000-0000-4000-8000-00000000002f
00000000-0000-4000-8000-000000000035,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,4,interacted,objection-presented,no-parity,2026-09-15T09:12:50.000Z,00000000-0000-4000-8000-000000000035
00000000-0000-4000-8000-000000000038,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,5,initialized,round-initialized,no-parity,2026-09-15T09:13:17.000Z,00000000-0000-4000-8000-000000000038
00000000-0000-4000-8000-00000000003e,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,5,interacted,objection-presented,no-parity,2026-09-15T09:15:23.000Z,00000000-0000-4000-8000-00000000003e
00000000-0000-4000-8000-000000000041,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,6,initialized,round-initialized,no-parity,2026-09-15T09:15:50.000Z,00000000-0000-4000-8000-000000000041
00000000-0000-4000-8000-000000000047,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,6,interacted,objection-presented,no-parity,2026-09-15T09:17:56.000Z,00000000-0000-4000-8000-000000000047
00000000-0000-4000-8000-00000000004a,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,7,initialized,round-initialized,no-parity,2026-09-15T09:18:23.000Z,00000000-0000-4000-8000-00000000004a
00000000-0000-4000-8000-000000000050,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,7,interacted,objection-presented,no-parity,2026-09-15T09:20:29.000Z,00000000-0000-4000-8000-000000000050
00000000-0000-4000-8000-000000000052,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,7,interacted,objection-presented,no-parity,2026-09-15T09:20:53.000Z,00000000-0000-4000-8000-000000000052
00000000-0000-4000-8000-000000000055,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,8,initialized,round-initialized,no-parity,2026-09-15T09:21:20.000Z,00000000-0000-4000-8000-000000000055
00000000-0000-4000-8000-00000000005b,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,8,interacted,objection-presented,no-parity,2026-09-15T09:23:26.000Z,00000000-0000-4000-8000-00000000005b
00000000-0000-4000-8000-00000000005d,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,8,interacted,objection-presented,no-parity,2026-09-15T09:23:50.000Z,00000000-0000-4000-8000-00000000005d
00000000-0000-4000-8000-000000000060,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,8,reset,round-reset,no-parity,2026-09-15T09:24:17.000Z,00000000-0000-4000-8000-000000000060
00000000-0000-4000-8000-000000000061,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,8,initialized,round-initialized,no-parity,2026-09-15T09:24:21.000Z,00000000-0000-4000-8000-000000000061
00000000-0000-4000-8000-000000000067,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,8,interacted,objection-presented,no-parity,2026-09-15T09:26:27.000Z,00000000-0000-4000-8000-000000000067
00000000-0000-4000-8000-000000000069,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,8,interacted,objection-presented,no-parity,2026-09-15T09:26:51.000Z,00000000-0000-4000-8000-000000000069
00000000-0000-4000-8000-00000000006c,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,9,initialized,round-initialized,no-parity,2026-09-15T09:27:18.000Z,00000000-0000-4000-8000-00000000006c
00000000-0000-4000-8000-000000000072,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,9,interacted,objection-presented,no-parity,2026-09-15T09:29:24.000Z,00000000-0000-4000-8000-000000000072
00000000-0000-4000-8000-000000000075,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,10,initialized,round-initialized,no-parity,2026-09-15T09:29:51.000Z,00000000-0000-4000-8000-000000000075
00000000-0000-4000-8000-00000000007b,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,10,interacted,objection-presented,no-parity,2026-09-15T09:31:57.000Z,00000000-0000-4000-8000-00000000007b
00000000-0000-4000-8000-00000000007e,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,,completed,level-milestone,no-parity,2026-09-15T09:32:23.000Z,00000000-0000-4000-8000-00000000007e
00000000-0000-4000-8000-00000000007f,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,11,initialized,round-initialized,no-parity,2026-09-15T09:32:27.000Z,00000000-0000-4000-8000-00000000007f
00000000-0000-4000-8000-000000000083,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,11,interacted,objection-presented,no-parity,2026-09-15T09:33:34.000Z,00000000-0000-4000-8000-000000000083
00000000-0000-4000-8000-000000000085,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,11,interacted,objection-presented,no-parity,2026-09-15T09:33:58.000Z,00000000-0000-4000-8000-000000000085
00000000-0000-4000-8000-000000000087,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,11,interacted,objection-presented,no-parity,2026-09-15T09:34:22.000Z,00000000-0000-4000-8000-000000000087
00000000-0000-4000-8000-000000000089,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,11,interacted,objection-presented,no-parity,2026-09-15T09:34:46.000Z,00000000-0000-4000-8000-000000000089
00000000-0000-4000-8000-00000000008c,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,12,initialized,round-initialized,no-parity,2026-09-15T09:35:13.000Z,00000000-0000-4000-8000-00000000008c
00000000-0000-4000-8000-000000000090,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,12,interacted,objection-presented,no-parity,2026-09-15T09:36:20.000Z,00000000-0000-4000-8000-000000000090
00000000-0000-4000-8000-000000000092,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,12,interacted,objection-presented,no-parity,2026-09-15T09:36:44.000Z,00000000-0000-4000-8000-000000000092
00000000-0000-4000-8000-000000000095,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,13,initialized,round-initialized,no-parity,2026-09-15T09:37:11.000Z,00000000-0000-4000-8000-000000000095
